"metric","full_aic","acoustic_only_aic","delta_aic","full_dev_explained","acoustic_only_dev_explained","acoustic_only_converged","interpretation"
"fish_activity",33450.1936652658,34383.0283945412,932.834729275368,0.552809502929137,0.519979122143283,TRUE,"Full model much better - env/temporal add significant value"
"fish_richness",22334.2203922831,22757.0225991467,422.802206863595,0.514423809190422,0.481997470126149,TRUE,"Full model much better - env/temporal add significant value"
"fish_presence",9076.90283663108,9668.30719868261,591.404362051528,0.494453007872963,0.460361260082662,TRUE,"Full model much better - env/temporal add significant value"
"dolphin_burst_pulse",8046.09998554764,8093.15131632759,47.0513307799492,0.267069190042444,0.235929549847217,TRUE,"Full model much better - env/temporal add significant value"
"dolphin_echolocation",30564.584066099,30596.3378757732,31.7538096742064,0.217748760348709,0.213826815156273,TRUE,"Full model much better - env/temporal add significant value"
"dolphin_whistle",3117.47487473798,3123.57199608445,6.09712134646543,0.338115739910042,0.321886772762462,TRUE,"Full model moderately better"
"dolphin_activity",32128.3126352745,32173.9194811882,45.6068459136804,0.207604918736763,0.202506737966683,TRUE,"Full model much better - env/temporal add significant value"
"dolphin_presence",10692.7881623693,10743.9143499788,51.1261876095086,0.250427139172256,0.246687193619074,TRUE,"Full model much better - env/temporal add significant value"
"vessel_presence",6434.61771384667,7427.30373277775,992.686018931077,0.52369424489129,0.449264270105934,TRUE,"Full model much better - env/temporal add significant value"
