"metric","converged","rho","aic","time_mins"
"fish_activity",TRUE,0.196311666481255,33897.0510174671,0.0291461666425069
"fish_richness",TRUE,0.184613359974213,22471.6454291618,0.0353082855542501
"fish_presence",TRUE,0.14402280345887,9412.72014826117,0.0321149826049805
"dolphin_burst_pulse",TRUE,0.0644651659902746,8187.08865858364,0.0716543634732564
"dolphin_echolocation",TRUE,0.128198376673014,30764.9983553548,0.0503875176111857
"dolphin_whistle",TRUE,0.10715838080419,3188.96227128211,0.0464180668195089
"dolphin_activity",TRUE,0.128809688587153,32367.1147582166,0.0455229679743449
"dolphin_presence",TRUE,0.110322271192167,10949.0212835397,0.0251465678215027
"vessel_presence",TRUE,0.0774234886835547,6961.04896967441,0.0350305835405985
