"metric","index","low_value","high_value","low_pred","high_pred","effect_size","effect_type"
"fish_activity","ACI",374.141179456072,423.811072726842,3.91545198158846,3.91542117334879,0.999992131626229,"fold_change"
"fish_activity","ACTspCount",6273.5513672,11725.4570345,4.29696006882627,4.25077838337093,0.989252475071767,"fold_change"
"fish_activity","ACTspFract",0.166058854856056,0.310410344970218,3.71625563472845,4.24426309235803,1.14208049970926,"fold_change"
"fish_activity","ACTspMean",16.8652033808444,27.3708574747859,3.51694722128925,3.35162762935023,0.95299343961198,"fold_change"
"fish_activity","ACTtCount",4657.55,7336.95,3.91575091871827,3.91513609308975,0.99984298653278,"fold_change"
"fish_activity","ACTtFraction",0.246561308767471,0.388419962841699,6.13649923774382,2.57309068006596,0.419309215299764,"fold_change"
"fish_activity","ACTtMean",13.0757915265561,28.1375689202539,3.5209538310823,3.59101366982124,1.01989797143049,"fold_change"
"fish_activity","ADI",2.86173038373771,3.4445453324186,3.91545157354394,3.91543196447912,0.999994991876554,"fold_change"
"fish_activity","AEI",0.361218508834447,0.610515441474551,3.83061363581801,3.9252330210267,1.02470084279029,"fold_change"
"fish_activity","AGI",1.8627321633047,3.81852058950753,3.55055852769273,4.37041984173629,1.23091051947152,"fold_change"
"fish_activity","AnthroEnergy",0.00221776455,1.47863752500028,3.91543685192409,3.91543502598444,0.999999533656214,"fold_change"
"fish_activity","BGNf",-75.3727955315,-53.057688791,3.9154118326174,3.91547599000494,1.00001638585934,"fold_change"
"fish_activity","BGNt",-58.38289929,-36.92848247,2.66211016176799,5.70064293355294,2.14140008757826,"fold_change"
"fish_activity","BI",1.00300322917475,50.3402830018668,4.31494221716523,3.13615688686057,0.72681318289377,"fold_change"
"fish_activity","BioEnergy",0.0435448963903054,1.34279869638093,3.91543684843324,3.91543666334474,0.999999952728517,"fold_change"
"fish_activity","EAS",0.0173078479075664,0.126341032047203,3.74984918960637,4.08871677174277,1.09036832283167,"fold_change"
"fish_activity","ECU",0.119010378179637,0.486938694802412,4.09153864107347,3.66773904637744,0.896420483374723,"fold_change"
"fish_activity","ECV",0.058813288551181,0.273029245428403,3.9154438602924,3.91542428571689,0.999995000675221,"fold_change"
"fish_activity","ENRf",-58.4050052,-41.5994454975,4.32331197740455,4.06384051455441,0.93998317396333,"fold_change"
"fish_activity","EPS",0.0150414280175312,0.0546902083625121,3.65752541260001,4.46970625451673,1.22205747063815,"fold_change"
"fish_activity","EPS_KURT",11.8939564726814,91.6877168014201,3.91543934776723,3.91544188112496,1.00000064701749,"fold_change"
"fish_activity","EPS_SKEW",1.20142694520092,6.90355014571539,3.97710089930582,3.99983209261371,1.00571551838473,"fold_change"
"fish_activity","EVNspCount",1.78306252109285,7.32486550554321,3.06082554807469,3.17792401064144,1.03825715014709,"fold_change"
"fish_activity","EVNspFract",0.0319905691667769,0.142288136811615,4.1520298489691,3.82049696525899,0.920151613603544,"fold_change"
"fish_activity","EVNspMean",0.0161957407839827,0.0206446862160272,3.83906744847218,3.98571687964308,1.03819923279266,"fold_change"
"fish_activity","EVNtCount",3.18961124053582,7.36700508283733,2.94376842427394,4.89625270779888,1.66326014893869,"fold_change"
"fish_activity","EVNtFraction",0.100990046542164,0.26792143157662,3.16618053512752,5.04832186181708,1.59445167633619,"fold_change"
"fish_activity","EVNtMean",0.0250574730966851,0.0534903509956679,3.91543619638161,3.91543803045674,1.00000046842166,"fold_change"
"fish_activity","HFC",0.17570809994996,0.320467648873862,6.11441697772007,2.19535379295071,0.35904548233302,"fold_change"
"fish_activity","H_GiniSimpson",0.888826269415579,0.986783872980978,3.91542445501767,3.91543772706492,1.00000338968288,"fold_change"
"fish_activity","H_Havrda",0.324405879171458,0.333245192381795,3.91543655544241,3.91543682861503,1.00000006976811,"fold_change"
"fish_activity","H_Renyi",2.20073139497055,4.13363297522353,3.91544054941511,3.9154323386098,0.999997902967697,"fold_change"
"fish_activity","H_gamma",5269.3843130211,11721.757483518,4.70413185528405,3.87630379008593,0.824021075372656,"fold_change"
"fish_activity","H_pairedShannon",4.22023839651303,5.72678410252557,3.91546445814826,3.91542983753405,0.999991157980215,"fold_change"
"fish_activity","Hf",0.592258016593317,0.853651807937429,3.91547427047037,3.91542714365209,0.999987963956593,"fold_change"
"fish_activity","Ht",0.45077843181026,0.76888240270376,3.36621973667344,4.49394984974655,1.33501381409746,"fold_change"
"fish_activity","KURTf",4.11257945195924,39.3257633977843,3.91544040519602,3.91540954858088,0.999992119247914,"fold_change"
"fish_activity","KURTt",90.2143636285643,15861.3166140619,3.91543140487387,3.91546494602934,1.00000856640099,"fold_change"
"fish_activity","LEQf",201.118738688685,218.140390983673,3.91559750191151,3.91548337211711,0.9999708525214,"fold_change"
"fish_activity","LEQt",53.7103892317177,69.9405961685669,5.31679689527807,2.96070432365397,0.556858646656865,"fold_change"
"fish_activity","LFC",0.176339432903298,0.304280229102748,2.99544760018862,4.03817415483147,1.34810375403569,"fold_change"
"fish_activity","MEANf",5.64233822990009e-05,0.00035085035,4.57546825401127,2.59088791756744,0.566256342243448,"fold_change"
"fish_activity","MEANt",-3.38877358079622e-19,3.30065055410646e-19,3.91543722701933,3.91543645448119,0.999999802694285,"fold_change"
"fish_activity","MED",0.00123364125,0.0150006368377952,3.91543491258475,3.91544307597915,1.0000020849266,"fold_change"
"fish_activity","MFC",0.185768459865746,0.334151870412091,5.14279438295428,5.58482199513627,1.08595086236523,"fold_change"
"fish_activity","NBPEAKS",3,12,3.80945827720521,4.1080070215922,1.07837039354741,"fold_change"
