"metric","variable","9M_edf","9M_p_value","9M_sig_level","14M_edf","14M_p_value","14M_sig_level","37M_edf","37M_p_value","37M_sig_level"
"dolphin_activity","ACI",3.16727361817158e-05,0.814034516720733,"",0.902638728643867,0.000977819692359883,"***",0.909842938590125,0.000689470075607379,"***"
"dolphin_activity","ACTspCount",0.000137886624084725,0.066589021171344,".",0.973510481010361,0,"***",0.413690440731443,0.0492436711903347,"*"
"dolphin_activity","ACTspFract",0.91406694359005,7.15680413443387e-05,"***",1.56521858596769e-05,0.291622780657687,"",0.738433441383939,0.000152482229790918,"***"
"dolphin_activity","ACTspMean",5.43598413222446e-05,0.740691726422506,"",2.52543905595182e-05,0.969968081392083,"",0.000117158430738544,0.821493049853391,""
"dolphin_activity","ACTtCount",6.36099990088805e-05,0.576333407062855,"",2.05965139095925e-05,0.976757476756587,"",4.4084192772742e-05,0.751293247856832,""
"dolphin_activity","ACTtFraction",3.23999246449913e-05,0.610692777658702,"",1.40426053220693e-05,0.950800059480323,"",4.54659018697961e-05,0.745576086895113,""
"dolphin_activity","ACTtMean",2.66705990076438e-05,0.735109829590769,"",6.5563338807349e-05,0.3277726008655,"",0.000137465817462991,0.295782018228135,""
"dolphin_activity","ADI",5.53383432995224e-05,0.680907351278623,"",4.02204691778708e-05,0.617063083623485,"",0.764412876072101,0.0233375901884478,"*"
"dolphin_activity","AEI",0.963299273465611,3.25501689046881e-07,"***",0.000209328585769928,0.332602808779193,"",0.812640537941257,0.00889466811781126,"**"
"dolphin_activity","AGI",3.00529230551766e-05,0.744066458921745,"",0.667175522589913,0.0763890380747776,".",0.000140513663384638,0.580003696336725,""
"dolphin_activity","AnthroEnergy",3.2561175944095e-05,0.824540883296162,"",1.39946180343366e-05,0.906700055297958,"",7.41649577908897e-05,0.867692709358938,""
"dolphin_activity","BGNf",0.710188151763306,0.0551949767314643,".",2.18987809364609e-05,0.961336886258989,"",0.904294784185525,0.000537725798888555,"***"
"dolphin_activity","BGNt",4.30870668599378e-05,0.958348921210137,"",3.83330246581658e-05,0.369432880239467,"",0.939581901607369,9.83646584051812e-06,"***"
"dolphin_activity","BI",2.24998806091398e-05,0.80154449230568,"",2.00609081065591e-05,0.385281046937643,"",0.783339590853476,0.0273168782176507,"*"
"dolphin_activity","BioEnergy",3.62055596045563e-05,0.814481198060086,"",0.696982212524694,0.0590774426247346,".",4.46472680599856e-05,0.406486915377544,""
"dolphin_activity","EAS",3.01543306438534e-05,0.967239025100868,"",0.701576115358612,0.0646842258634153,".",7.82025328654944e-05,0.78008163790775,""
"dolphin_activity","ECU",0.843785063495307,0.00825901866688272,"**",2.82748422759123e-05,0.927333594474265,"",0.000177443592897862,0.430135540287392,""
"dolphin_activity","ECV",0.779624888630498,0.0283103473465025,"*",1.81813979761076e-05,0.896083560242095,"",0.000138322595708356,0.626739950291543,""
"dolphin_activity","ENRf",3.99470956679558e-05,0.783938968422281,"",1.97120185859702e-05,0.623952394761088,"",8.68530664326998e-05,0.839979996518934,""
"dolphin_activity","EPS",5.8680351382571e-05,0.458881655505478,"",1.09115242460446,0.00554042560511914,"**",0.788733275381202,0.0206363838494903,"*"
"dolphin_activity","EPS_KURT",0.789313900313523,0.0244850130959771,"*",2.79443731540644e-05,0.612649861099906,"",9.80442483985926e-05,0.00490577418845417,"**"
"dolphin_activity","EPS_SKEW",3.99099274877769e-05,0.752848434247056,"",0.64593194155317,0.0822082840116602,".",0.491208655885925,0.145707706233744,""
"dolphin_activity","EVNspCount",0.555085356961635,0.10663120059644,"",0.955787875834362,1.38696679896633e-06,"***",0.000238060887064256,0.294339698312012,""
"dolphin_activity","EVNspFract",2.96298649461949e-05,0.996259808785918,"",1.81473993655134,0.00017452141948282,"***",0.987055268195156,0,"***"
"dolphin_activity","EVNspMean",5.49227866937475e-05,0.518285567748391,"",1.36019047422908e-05,0.60541881791762,"",1.73267807916952,1.6380590324161e-06,"***"
"dolphin_activity","EVNtCount",0.63035928296875,0.0941394037401442,".",2.2146379316498e-05,0.569313746445633,"",0.423558994914262,0.185700471293526,""
"dolphin_activity","EVNtFraction",6.43163488759414e-05,0.529874545758978,"",2.4242863486793e-05,0.802918888004578,"",0.853244337143108,0.00662439112644453,"**"
"dolphin_activity","EVNtMean",4.21310768396599e-05,0.97972399563836,"",2.44574297915289e-05,0.353592569978496,"",9.8379206134823e-05,0.818988835756723,""
"dolphin_activity","HFC",3.53931239224354e-05,0.910603517757904,"",2.3102458174559e-05,0.855552937822671,"",1.45996992461825,0.0107647369650874,"*"
"dolphin_activity","H_GiniSimpson",3.37430986275197e-05,0.824521807006762,"",2.57377818124769e-05,0.81856669063126,"",7.91377028004397e-05,0.336653507855593,""
"dolphin_activity","H_Havrda",3.30229685514326e-05,0.675153548029795,"",3.09159002874863e-05,0.684891607698162,"",8.82507369232815e-05,0.36367481794729,""
"dolphin_activity","H_Renyi",9.44200344303266e-05,0.413256496036036,"",2.3867254644845e-05,0.761378536620909,"",7.23815794077473e-05,0.987536385241145,""
"dolphin_activity","H_gamma",5.42629074744681e-05,0.603274510230062,"",0.906792628874277,0.00074529094570841,"***",0.887498964333163,0.000973240700516964,"***"
"dolphin_activity","H_pairedShannon",4.12661379759344e-05,0.681771805132239,"",1.62681346378233e-05,0.917244347143358,"",0.194527607720233,0.249327047478653,""
"dolphin_activity","Hf",4.34952176360764e-05,0.690782761885627,"",1.58163622352301e-05,0.923821292626087,"",5.00345527424044e-05,0.458949268018168,""
"dolphin_activity","Ht",0.929547628107713,8.32902213739883e-05,"***",2.42668311482842e-05,0.306370524182274,"",0.790342177025831,0.0201475826539362,"*"
"dolphin_activity","KURTf",3.64313946630149e-05,0.975944789310159,"",2.81615947371536e-05,0.908307227880096,"",7.18507024189463e-05,0.812671873498755,""
"dolphin_activity","KURTt",0.000132535835470116,0.34789009786683,"",0.11487782206703,0.278811855395554,"",0.000570246911534055,0.311322539892183,""
"dolphin_activity","LEQf",4.07920944840451e-05,0.783197327920605,"",2.00431633272281e-05,0.623034949293803,"",8.7127087756424e-05,0.840157756343944,""
"dolphin_activity","LEQt",3.34745911349459e-05,0.880931403963157,"",0.906223580413271,0.000682738119233584,"***",1.06254627025994,0.066551636918619,"."
"dolphin_activity","LFC",0.748795702241855,0.127543014249235,"",2.67646060455843e-05,0.362095483980235,"",0.000106508935428154,0.686049322029575,""
"dolphin_activity","MEANf",3.46122125915778e-05,0.914377394003182,"",0.890474026632366,0.00169749677182873,"**",0.964165676894194,0,"***"
"dolphin_activity","MEANt",3.94686680512823e-05,0.860160361681427,"",2.42485699569612e-05,0.936130309994915,"",0.222827027373123,0.257961291624366,""
"dolphin_activity","MED",2.3370088881275e-05,0.967290854182813,"",1.69551438956516e-05,0.358867959576753,"",7.66209380844472e-05,0.488995495899161,""
"dolphin_activity","MFC",2.3458578769317e-05,0.944210409153256,"",0.932096289322953,8.03048064941247e-05,"***",0.837482896630836,0.00711497587409715,"**"
"dolphin_activity","NBPEAKS",0.886747652260146,0.00269955350990136,"**",0.6963950952495,0.0662184864176047,".",0.449816204273918,0.169012748673434,""
"dolphin_activity","NDSI",4.77470404513077e-05,0.68515801380019,"",2.47350799325321e-05,0.268544135551751,"",0.406293183366609,0.0096475128276392,"**"
"dolphin_activity","RAOQ",3.62525913031958e-05,0.733201692424993,"",2.90916104679156e-05,0.835061056294812,"",0.000153976709147789,0.0974857943687405,"."
"dolphin_activity","ROU",3.62668203411667e-05,0.933043155966877,"",1.12904248934079e-05,0.916358989986483,"",0.000130129321603897,0.505403804634881,""
"dolphin_activity","SKEWf",4.22886929843069e-05,0.886144975103154,"",1.75497486650039e-05,0.969087554569841,"",4.13216908139513e-05,0.902225289570527,""
"dolphin_activity","SKEWt",2.89682139819759e-05,0.700552958499335,"",3.64377029115754e-05,0.365973851950474,"",9.38973251431123e-05,0.964110723471945,""
"dolphin_activity","SNRf",2.24292900503459e-05,0.878095999827395,"",2.03345484149789e-05,0.956858276221573,"",0.921107136085126,0.000250747312901312,"***"
"dolphin_activity","SNRt",3.74933171656688e-05,0.711868681806904,"",3.08869834235672e-05,0.515097175553214,"",0.000113853388424302,0.25223260455555,""
