"metric","type","n_folds","rmse_mean","rmse_sd","mae_mean","r2_mean","auc_mean","auc_sd","accuracy_mean","sensitivity_mean","specificity_mean"
"dolphin_activity","count",53,5.78060434426341,5.09046775601433,2.53408925346294,-1.84354755127794,NA,NA,NA,NA,NA
"dolphin_burst_pulse","count",53,46.7075165220781,321.103829307113,3.37867061983863,-44154.1667742693,NA,NA,NA,NA,NA
"dolphin_echolocation","count",53,4.06076897809667,3.19332681131114,1.93468432257969,-1.58012748897597,NA,NA,NA,NA,NA
"dolphin_presence","binary",53,NA,NA,NA,NA,0.769874737440133,0.115487580653805,0.829655382662223,0.369028543343279,0.93784352134014
"dolphin_whistle","count",53,1.21860633590127,1.45411364266503,0.252535739964568,-Inf,NA,NA,NA,NA,NA
"fish_activity","count",53,1.10925674720287,0.396644786165402,0.847179404379938,0.0396755398218184,NA,NA,NA,NA,NA
"fish_presence","binary",53,NA,NA,NA,NA,0.77324756752992,0.105195551313086,0.819045262495988,0.569152245301918,0.55270045342475
"fish_richness","count",53,0.549186577927793,0.183362423166591,0.423511058602886,0.0536767826676228,NA,NA,NA,NA,NA
"vessel_presence","binary",53,NA,NA,NA,NA,0.932704340560081,0.028624741480789,0.897398396828976,0.663658077437871,0.955191136763096
