"metric","observed_zero_prop","predicted_zero_prop","gap","flagged"
"fish_activity",0.458632269882461,0.313921538696382,0.144710731186078,TRUE
"fish_richness",0.458632269882461,0.411921843993283,0.0467104258891772,FALSE
"dolphin_burst_pulse",0.948774715627147,0.891671119932819,0.0571035956943278,FALSE
"dolphin_echolocation",0.769201404794625,0.327989005955108,0.441212398839518,TRUE
"dolphin_whistle",0.982517749446523,0.957935720283991,0.0245820291625315,FALSE
"dolphin_activity",0.765379331399786,0.241108227751488,0.524271103648298,TRUE
