"metric","station","index","low_value","high_value","low_pred","high_pred","effect_size","effect_type"
"fish_presence","9M","ACI",376.223208329155,423.001047678914,0.754179776114737,0.754180599191912,8.23077175304832e-07,"probability_change"
"fish_presence","9M","ACTspCount",5647.7246093,8531.5886721,0.844265171888169,0.660815128614928,-0.183450043273241,"probability_change"
"fish_presence","9M","ACTspFract",0.149504032925215,0.22583986009951,0.754186384869149,0.754175104890362,-1.12799787869156e-05,"probability_change"
"fish_presence","9M","ACTspMean",21.2008774433035,27.859961163198,0.774264517761207,0.674746274005826,-0.099518243755381,"probability_change"
"fish_presence","9M","ACTtCount",4352.3,6508.9,0.754174262655524,0.754184141578973,9.87892344850305e-06,"probability_change"
"fish_presence","9M","ACTtFraction",0.230426725963575,0.344567979669631,0.75417367190636,0.754184540380028,1.08684736674913e-05,"probability_change"
"fish_presence","9M","ACTtMean",13.1510476154133,28.6456743672386,0.754179947130904,0.754180180084912,2.32954007750585e-07,"probability_change"
"fish_presence","9M","ADI",2.64878352948156,3.38209035837963,0.754180512994354,0.754179852425063,-6.60569290489299e-07,"probability_change"
"fish_presence","9M","AEI",0.413069405105575,0.64551821317171,0.754180197537981,0.754180468304763,2.70766782217713e-07,"probability_change"
"fish_presence","9M","AGI",1.7154331953445,3.22274197348194,0.794088160849285,0.720406999520696,-0.0736811613285897,"probability_change"
"fish_presence","9M","AnthroEnergy",0.00159423799999996,0.400173041478579,0.754178153165434,0.754179006849528,8.53684094193063e-07,"probability_change"
"fish_presence","9M","BGNf",-76.35535947,-65.40782556,0.754180593214673,0.754179633459017,-9.59755655838279e-07,"probability_change"
"fish_presence","9M","BGNt",-60.205068828,-43.670641237,0.754180711402111,0.75417962398507,-1.08741704107906e-06,"probability_change"
"fish_presence","9M","BI",1.27922688881356,23.9625680293599,0.812000248169775,0.707499774784361,-0.104500473385414,"probability_change"
"fish_presence","9M","BioEnergy",0.0256065641093165,0.271511183459017,0.740401413478661,0.767734672634972,0.0273332591563104,"probability_change"
"fish_presence","9M","EAS",0.0543480956092666,0.147050659220475,0.733677493385399,0.778198741505536,0.0445212481201367,"probability_change"
"fish_presence","9M","ECU",0.232516308634554,0.62031605950746,0.710738921709897,0.727907289627655,0.0171683679177584,"probability_change"
"fish_presence","9M","ECV",0.10082112641823,0.35153860651197,0.754181717216718,0.754178271455525,-3.44576119271078e-06,"probability_change"
"fish_presence","9M","ENRf",-60.920347549,-48.195459445,0.715980438023235,0.785030705008136,0.0690502669849006,"probability_change"
"fish_presence","9M","EPS",0.0118994739877391,0.0345401927057082,0.898041774889348,0.523985209450071,-0.374056565439277,"probability_change"
"fish_presence","9M","EPS_KURT",19.4358056729419,50.4580907765949,0.754180282266028,0.754180037482121,-2.44783906921953e-07,"probability_change"
"fish_presence","9M","EPS_SKEW",0.885223784705783,4.97030280971516,0.754179423696328,0.754180651580014,1.22788368561721e-06,"probability_change"
"fish_presence","9M","EVNspCount",1.22931008717151,4.3921560268389,0.754177372885568,0.754178444510455,1.07162488616197e-06,"probability_change"
"fish_presence","9M","EVNspFract",0.0226511933322303,0.0891545333,0.754181053741436,0.75417924352523,-1.81021620637711e-06,"probability_change"
"fish_presence","9M","EVNspMean",0.0175868442747206,0.0204896876351788,0.754180361274789,0.754179923354035,-4.37920753659782e-07,"probability_change"
"fish_presence","9M","EVNtCount",3.57223222319289,6.28904802244693,0.752964357889639,0.747538782931858,-0.00542557495778073,"probability_change"
"fish_presence","9M","EVNtFraction",0.160135129806313,0.292561414654807,0.698585637286369,0.800763834627367,0.102178197340998,"probability_change"
"fish_presence","9M","EVNtMean",0.0347245945530892,0.0566038832650655,0.824369163599568,0.67465291862486,-0.149716244974707,"probability_change"
"fish_presence","9M","HFC",0.153575575237502,0.247091455962393,0.754187186129278,0.754175063361767,-1.2122767511058e-05,"probability_change"
"fish_presence","9M","H_GiniSimpson",0.877678084774989,0.984233527955482,0.754179987762964,0.754180163674657,1.7591169310105e-07,"probability_change"
"fish_presence","9M","H_Havrda",0.322801639521089,0.333192859881231,0.754179859413856,0.754180207253458,3.47839601677613e-07,"probability_change"
"fish_presence","9M","H_Renyi",2.12941554979615,3.90494633885488,0.754179418892213,0.754181556231684,2.13733947085348e-06,"probability_change"
"fish_presence","9M","H_gamma",5171.98444113943,11421.6622937399,0.754181016497104,0.754181613766384,5.97269280366852e-07,"probability_change"
"fish_presence","9M","H_pairedShannon",4.14232895121337,5.65189259760191,0.754180171605976,0.754180255494519,8.38885436671433e-08,"probability_change"
"fish_presence","9M","Hf",0.580057172204718,0.840364103361561,0.754180148772683,0.754180418846774,2.700740914241e-07,"probability_change"
"fish_presence","9M","Ht",0.412674259749672,0.700027322626903,0.754179597834733,0.754180753639508,1.15580477466626e-06,"probability_change"
"fish_presence","9M","KURTf",5.98616427026074,41.2571801368111,0.754180350943517,0.754179732646453,-6.18297063548212e-07,"probability_change"
"fish_presence","9M","KURTt",60.3883918408132,14993.289967258,0.754179662604005,0.754180723611711,1.06100770591588e-06,"probability_change"
"fish_presence","9M","LEQf",198.559052537373,211.2839406445,0.715247811257449,0.785569094362389,0.0703212831049401,"probability_change"
"fish_presence","9M","LEQt",52.1573041861794,67.2800173591614,0.896425055659365,0.485894749650286,-0.410530306009079,"probability_change"
"fish_presence","9M","LFC",0.159220401110471,0.298177145528626,0.325284803376439,0.969281945256253,0.643997141879814,"probability_change"
"fish_presence","9M","MEANf",4.19131008518586e-05,0.000143505581463214,0.754177490290519,0.754182042520165,4.55222964601543e-06,"probability_change"
"fish_presence","9M","MEANt",-4.376e-19,4.21564370629702e-19,0.754180852043915,0.754179999745302,-8.52298612685765e-07,"probability_change"
"fish_presence","9M","MED",0.0009916657,0.0072386542,0.745626022257493,0.764510465988611,0.0188844437311182,"probability_change"
"fish_presence","9M","MFC",0.160237485641878,0.27483385319497,0.664622532819066,0.747362153411532,0.0827396205924663,"probability_change"
"fish_presence","9M","NBPEAKS",5.5,16,0.754180799253443,0.754179286925602,-1.51232784162403e-06,"probability_change"
"fish_presence","9M","NDSI",-0.0808149091499999,0.912704683615213,0.784339675015974,0.740587523523105,-0.0437521514928686,"probability_change"
"fish_presence","9M","RAOQ",0.262816386727709,0.520890192950789,0.762872302794725,0.769348218980121,0.00647591618539611,"probability_change"
